선수명,팀명,G,AVG,style_code,style_name
강민성,KT,18,0.048,4,평범형
강민호,SS,52,0.272,4,평범형
강백호,KT,43,0.255,4,평범형
강성우,LT,1,0.0,4,평범형
강승호,OB,55,0.217,4,평범형
강진성,WO,6,0.182,4,평범형
강현우,KT,10,0.167,4,평범형
고명준,SK,53,0.27,4,평범형
고승민,LT,48,0.31,4,평범형
고영우,WO,4,0.0,4,평범형
구본혁,LG,52,0.25,3,선구안형
구승민,LT,1,0.0,4,평범형
구자욱,SS,56,0.249,0,파워형
권광민,HH,6,0.222,4,평범형
권동진,KT,44,0.261,3,선구안형
권혁빈,WO,2,0.0,4,평범형
권희동,NC,51,0.253,4,평범형
김건우,SK,1,0.0,4,평범형
김건형,KT,2,0.0,4,평범형
김건희,WO,27,0.226,1,스피드형
김규성,HT,49,0.222,3,선구안형
김기연,OB,40,0.265,1,스피드형
김대유,HT,1,0.0,4,평범형
김대한,OB,2,0.333,4,평범형
김도영,HT,27,0.33,4,평범형
김동엽,WO,2,0.0,4,평범형
김동준,OB,2,0.0,4,평범형
김동헌,WO,24,0.209,1,스피드형
김동혁,LT,29,0.5,1,스피드형
김민석,OB,23,0.213,1,스피드형
김민성,LT,40,0.221,1,스피드형
김민수,LG,3,0.167,4,평범형
김민혁,KT,56,0.299,2,컨택형
김민혁,OB,4,0.2,4,평범형
김범준,NC,1,0.0,4,평범형
김병준,KT,9,0.2,4,평범형
김상수,KT,34,0.218,3,선구안형
김서현,HH,1,0.0,4,평범형
김석환,HT,10,0.25,4,평범형
김선빈,HT,34,0.292,3,선구안형
김성우,LG,3,0.333,4,평범형
김성욱,NC,9,0.077,4,평범형
김성윤,SS,54,0.358,2,컨택형
김성현,SK,31,0.229,1,스피드형
김수윤,SK,7,0.091,4,평범형
김승일,HH,1,0.0,4,평범형
김시훈,NC,1,0.0,4,평범형
김영우,LG,2,0.0,4,평범형
김영웅,SS,48,0.249,4,평범형
김웅빈,WO,7,0.111,4,평범형
김원중,LT,4,0.0,4,평범형
김인태,OB,44,0.286,1,스피드형
김인환,HH,4,0.0,4,평범형
김재성,SS,10,0.125,4,평범형
김재혁,SS,5,0.0,4,평범형
김재현,WO,43,0.207,1,스피드형
김재환,OB,50,0.247,4,평범형
김정호,NC,2,0.667,4,평범형
김주성,LG,5,1.0,4,평범형
김주원,NC,53,0.233,2,컨택형
김준상,OB,3,0.2,4,평범형
김지찬,SS,29,0.318,3,선구안형
김진성,LG,1,0.0,4,평범형
김찬형,SK,15,0.182,4,평범형
김창평,SK,4,0.0,4,평범형
김태군,HT,35,0.241,1,스피드형
김태근,SS,11,0.333,4,평범형
김태연,HH,47,0.23,3,선구안형
김태진,WO,56,0.245,4,평범형
김태훈,SS,3,0.5,4,평범형
김한별,NC,22,0.381,1,스피드형
김헌곤,SS,40,0.264,3,선구안형
김현수,LG,57,0.293,4,평범형
김형준,NC,42,0.236,4,평범형
김호령,HT,18,0.217,4,평범형
김호준,OB,1,0.0,4,평범형
김호진,SS,1,0.0,4,평범형
김휘집,NC,52,0.182,3,선구안형
나성범,HT,26,0.226,1,스피드형
나승엽,LT,56,0.25,4,평범형
노경은,SK,1,0.0,4,평범형
노시환,HH,57,0.241,0,파워형
데이비슨,NC,33,0.315,4,평범형
도태훈,NC,33,0.2,1,스피드형
디아즈,SS,57,0.299,0,파워형
레이예스,LT,58,0.315,0,파워형
로하스,KT,58,0.261,4,평범형
류지혁,SS,55,0.294,2,컨택형
류진욱,NC,2,0.0,4,평범형
류현준,OB,7,0.167,4,평범형
맥브룸,SK,22,0.203,1,스피드형
문보경,LG,55,0.315,0,파워형
문상철,KT,45,0.216,3,선구안형
문성주,LG,48,0.24,3,선구안형
문정빈,LG,15,0.1,4,평범형
문현빈,HH,55,0.321,0,파워형
박건우,NC,34,0.287,3,선구안형
박계범,OB,33,0.239,1,스피드형
박관우,LG,1,0.0,4,평범형
박동원,LG,56,0.31,0,파워형
박명근,LG,3,0.0,4,평범형
박민,HT,3,0.2,4,평범형
박민석,KT,10,0.25,4,평범형
박민우,NC,49,0.307,2,컨택형
박민준,OB,1,0.0,4,평범형
박병호,SS,48,0.2,4,평범형
박성한,SK,54,0.206,4,평범형
박세혁,NC,30,0.13,1,스피드형
박수종,WO,9,0.091,4,평범형
박승규,SS,6,0.529,4,평범형
박승욱,LT,17,0.158,4,평범형
박시원,NC,37,0.205,1,스피드형
박신지,OB,1,0.0,4,평범형
박영빈,NC,11,0.0,4,평범형
박영현,KT,1,0.0,4,평범형
박윤성,키움,0,0.0,4,평범형
박재엽,LT,2,0.5,4,평범형
박재현,HT,26,0.1,1,스피드형
박정우,HT,38,0.28,1,스피드형
박주성,키움,0,0.0,4,평범형
박주홍,WO,47,0.194,3,선구안형
박준순,OB,12,0.167,4,평범형
박준영,OB,41,0.225,3,선구안형
박준우,LT,1,0.0,4,평범형
박지환,SK,18,0.167,4,평범형
박지훈,OB,25,0.167,1,스피드형
박진,LT,1,0.0,4,평범형
박찬호,HT,46,0.263,2,컨택형
박한결,NC,8,0.118,4,평범형
박해민,LG,57,0.236,2,컨택형
배재환,NC,1,0.0,4,평범형
배정대,KT,54,0.195,3,선구안형
배찬승,SS,1,0.0,4,평범형
변상권,WO,9,0.25,4,평범형
변우혁,HT,40,0.215,3,선구안형
서건창,HT,10,0.136,4,평범형
서유신,키움,2,0.0,4,평범형
서호철,NC,39,0.294,3,선구안형
석정우,SK,5,0.25,4,평범형
손성빈,LT,8,0.2,4,평범형
손아섭,NC,47,0.32,4,평범형
손용준,LG,2,0.2,4,평범형
손주환,NC,2,0.0,4,평범형
손호영,LT,41,0.25,3,선구안형
송민섭,KT,1,0.0,4,평범형
송성문,WO,60,0.28,0,파워형
송승환,NC,8,0.143,4,평범형
송지후,WO,8,0.174,4,평범형
송찬의,LG,48,0.221,3,선구안형
신민재,LG,48,0.228,3,선구안형
신범수,SK,20,0.19,4,평범형
심우준,HH,33,0.17,1,스피드형
심재훈,SS,17,0.208,4,평범형
안상현,SK,37,0.288,3,선구안형
안주형,SS,6,0.214,4,평범형
안중열,NC,8,0.067,4,평범형
안치영,KT,13,0.0,4,평범형
안치홍,HH,20,0.094,4,평범형
안현민,KT,29,0.324,4,평범형
양도근,SS,45,0.333,1,스피드형
양석환,OB,55,0.265,4,평범형
양의지,OB,55,0.318,0,파워형
양현종,키움,3,0.0,4,평범형
어준서,WO,39,0.25,1,스피드형
에레디아,SK,13,0.313,4,평범형
여동건,OB,7,0.0,4,평범형
여동욱,WO,11,0.19,4,평범형
오명진,OB,43,0.274,3,선구안형
오선우,HT,37,0.308,4,평범형
오선진,WO,44,0.25,1,스피드형
오스틴,LG,52,0.299,0,파워형
오영수,NC,10,0.179,4,평범형
오윤석,KT,25,0.2,1,스피드형
오지환,LG,55,0.233,2,컨택형
오태곤,SK,45,0.182,3,선구안형
우강훈,LG,2,0.0,4,평범형
원성준,WO,8,0.15,4,평범형
위즈덤,HT,35,0.24,4,평범형
유강남,LT,49,0.303,4,평범형
유로결,HH,5,0.0,4,평범형
유준규,KT,18,0.042,4,평범형
육선엽,SS,1,0.0,4,평범형
윤도현,HT,10,0.323,4,평범형
윤동희,LT,49,0.297,4,평범형
윤정빈,SS,23,0.189,1,스피드형
윤준혁,KT,17,0.067,4,평범형
이도윤,HH,42,0.225,1,스피드형
이로운,SK,1,0.0,4,평범형
이민재,HH,3,0.0,4,평범형
이병헌,SS,20,0.087,4,평범형
이상혁,HH,19,0.4,4,평범형
이성규,SS,21,0.182,1,스피드형
이승원,키움,1,0.0,4,평범형
이승현,HH,4,1.0,4,평범형
이영빈,LG,25,0.25,1,스피드형
이용규,WO,9,0.207,4,평범형
이우성,HT,49,0.236,4,평범형
이우찬,LG,1,0.0,4,평범형
이원석,WO,3,0.2,4,평범형
이원석,HH,48,0.171,3,선구안형
이유찬,OB,12,0.3,4,평범형
이율예,SK,1,0.0,4,평범형
이인한,LT,3,0.0,4,평범형
이재상,WO,2,0.5,4,평범형
이재원,HH,50,0.203,1,스피드형
이재현,SS,56,0.231,4,평범형
이재희,SS,1,0.0,4,평범형
이정현,KT,1,0.0,4,평범형
이주헌,LG,25,0.229,1,스피드형
이주형,WO,45,0.24,3,선구안형
이지강,LG,1,0.0,4,평범형
이지영,SK,27,0.241,1,스피드형
이진영,HH,46,0.286,4,평범형
이창용,SS,7,0.273,4,평범형
이형종,WO,27,0.18,1,스피드형
이호성,SS,1,0.0,4,평범형
이호준,LT,47,0.238,1,스피드형
임병욱,WO,30,0.231,1,스피드형
임시,키움,0,0.0,4,평범형
임종성,OB,23,0.241,1,스피드형
임종찬,HH,17,0.167,4,평범형
임지열,WO,18,0.256,4,평범형
장두성,LT,51,0.299,2,컨택형
장성우,KT,55,0.229,4,평범형
장승현,OB,4,0.0,4,평범형
장재영,WO,10,0.143,4,평범형
장준원,KT,17,0.222,4,평범형
장진혁,KT,19,0.269,4,평범형
장현식,LG,1,0.0,4,평범형
전다민,OB,13,0.0,4,평범형
전민재,LT,43,0.387,4,평범형
전병우,SS,25,0.2,1,스피드형
전준우,LT,57,0.284,4,평범형
전태현,WO,38,0.221,1,스피드형
정보근,LT,47,0.228,1,스피드형
정수빈,OB,55,0.264,2,컨택형
정우주,HH,1,0.0,4,평범형
정준재,SK,54,0.207,2,컨택형
정철원,LT,1,0.0,4,평범형
정해영,HT,1,0.0,4,평범형
정해원,HT,9,0.067,4,평범형
정현수,LT,1,0.0,4,평범형
정현승,SK,3,0.5,4,평범형
정현창,NC,4,0.0,4,평범형
정훈,LT,39,0.224,1,스피드형
조대현,KT,18,0.222,4,평범형
조동욱,HH,1,0.0,4,평범형
조병현,SK,2,0.0,4,평범형
조세진,LT,6,0.0,4,평범형
조수행,OB,44,0.23,3,선구안형
조형우,SK,37,0.25,1,스피드형
주권,KT,1,0.0,4,평범형
주승우,키움,1,0.0,4,평범형
채은성,HH,57,0.273,4,평범형
채현우,SK,18,0.192,4,평범형
천성호,KT,27,0.2,1,스피드형
천재환,NC,51,0.259,3,선구안형
최동환,KT,1,0.0,4,평범형
최상민,SK,23,0.143,1,스피드형
최성민,KT,22,0.067,1,스피드형
최승민,LG,2,0.0,4,평범형
최원영,LG,49,0.294,1,스피드형
최원준,HT,38,0.195,3,선구안형
최인호,HH,35,0.209,1,스피드형
최재훈,HH,46,0.292,3,선구안형
최정,SK,24,0.22,4,평범형
최정용,HT,4,0.167,4,평범형
최정원,NC,20,0.269,4,평범형
최주환,WO,56,0.292,4,평범형
최준우,SK,45,0.219,3,선구안형
최지훈,SK,56,0.305,2,컨택형
최항,LT,4,0.0,4,평범형
최형우,HT,53,0.341,0,파워형
추재현,OB,21,0.25,1,스피드형
카디네스,WO,53,0.238,4,평범형
케이브,OB,49,0.287,4,평범형
푸이그,WO,40,0.212,3,선구안형
플로리얼,HH,57,0.272,2,컨택형
하재훈,SK,8,0.167,4,평범형
하주석,HH,23,0.3,1,스피드형
한두솔,SSG,1,0.0,4,평범형
한석현,NC,32,0.224,3,선구안형
한승택,HT,12,0.222,4,평범형
한유섬,SK,54,0.249,4,평범형
한재환,NC,16,0.185,4,평범형
한준수,HT,37,0.204,1,스피드형
한태양,LT,31,0.385,1,스피드형
함수호,SS,1,0.0,4,평범형
함창건,LG,12,0.2,4,평범형
허경민,KT,34,0.27,3,선구안형
허인서,HH,2,1.0,4,평범형
현원회,SK,7,0.15,4,평범형
홍대인,SSG,6,0.0,4,평범형
홍민규,OB,1,0.0,4,평범형
홍종표,HT,26,0.19,1,스피드형
홍창기,LG,38,0.269,3,선구안형
홍현빈,SS,3,0.0,4,평범형
황대인,HT,6,0.208,4,평범형
황동하,HT,2,0.0,4,평범형
황성빈,LT,28,0.324,3,선구안형
황영묵,HH,51,0.24,3,선구안형
황재균,KT,53,0.311,4,평범형
